#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2009-01-01,3,-4,8,-3,3,-3,0,95,7,1029,15.375,3,0,-6,143,113,113,0,1,8.2,météo très défavorable,16:56:00,08:39:00,-3,143,-2,113,0,116,-4,113,-3,143
2009-01-02,1,-5,15,-5,1,-2,0,88,10,1028,12.5,1,0,-9,113,113,113,0,2,8.2,météo très défavorable,16:57:00,08:39:00,-5,113,-4,113,0,113,-2,116,-5,113
2009-01-03,1,-5,14,-4,1,-4,0,93,10,1028,13.5,1,0,-9,113,113,113,0,2,8.2,météo très défavorable,16:58:00,08:39:00,-3,116,-3,113,-1,113,-5,113,-3,116
2009-01-04,-1,-6,8,-6,-1,-4,0,68,10,1026,32.875,0,0,-10,116,113,113,0,2,6.8,météo très défavorable,16:59:00,08:39:00,-6,116,-5,113,-3,119,-4,116,-6,113
2009-01-05,-1,-4,10,-4,-1,-2,2.5,83,3.75,1021,98.125,0,0,-8,338,338,338,2.1,1,3.2,météo très défavorable,17:01:00,08:38:00,-4,338,-3,332,-1,338,-2,332,-4,119
2009-01-06,-3,-8,17,-6,-4,-7,0.3,92,9.375,1024,25.75,0,0,-13,113,116,113,0.3,1,8.6,météo très défavorable,17:02:00,08:38:00,-5,116,-7,113,-4,116,-8,113,-3,335
2009-01-07,-4,-10,10,-10,-4,-5,0,80,9,1026,18.125,0,0,-15,113,113,113,0,2,8.7,météo très défavorable,17:03:00,08:38:00,-10,113,-9,113,-5,116,-6,143,-8,113
2009-01-08,-1,-8,17,-6,-1,-7,0,94,9,1029,8.625,0,0,-11,113,113,113,0,1,8.7,météo très défavorable,17:04:00,08:37:00,-4,116,-5,113,-3,113,-8,113,-5,143
2009-01-09,-4,-9,12,-9,-4,-8,0,93,10,1030,1.5,0,0,-15,113,113,113,0,2,8.7,météo très défavorable,17:05:00,08:37:00,-9,113,-9,113,-5,113,-9,113,-9,113
2009-01-10,-2,-9,8,-9,-2,-6,0,92,10,1031,0,0,0,-14,113,113,113,0,2,8.7,météo très défavorable,17:07:00,08:36:00,-9,113,-7,113,-3,113,-7,113,-8,113
