#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2013-01-01,8,2,22,6,8,3,7.5,96,7.75,1017,62.875,8,6,2,296,263,113,0,2,4.9,météo très défavorable,16:56:00,08:39:00,5,302,7,266,6,113,2,113,6,296
2013-01-02,6,1,12,1,6,4,0.2,96,5.375,1030,56.75,6,4,-2,143,116,143,0,2,6.8,météo très défavorable,16:57:00,08:39:00,1,143,2,143,5,116,4,263,2,116
2013-01-03,8,5,16,6,8,8,1.7,97,5,1038,95.125,8,8,2,266,119,122,0,2,3.1,météo très défavorable,16:58:00,08:39:00,5,266,7,266,8,266,8,122,5,266
2013-01-04,9,6,12,8,9,7,0.4,98,3.5,1038,81.625,9,8,6,248,143,143,0,2,3.1,météo défavorable,16:59:00,08:39:00,9,248,8,143,9,119,6,143,8,122
2013-01-05,8,4,9,4,8,7,0.4,98,3.5,1036,76.5,8,7,2,248,119,143,0,2,3.2,météo très défavorable,17:01:00,08:38:00,4,248,5,143,8,119,7,143,5,143
2013-01-06,8,5,11,5,8,6,0.5,98,3.5,1035,86.25,8,6,4,248,119,143,0,2,3.2,météo très défavorable,17:02:00,08:38:00,6,248,7,143,8,119,7,143,7,266
2013-01-07,8,2,6,3,8,3,0.1,94,8,1031,33.625,8,6,3,143,113,113,0,2,8.7,météo très défavorable,17:03:00,08:38:00,6,119,5,116,6,113,2,113,6,143
2013-01-08,5,1,7,1,5,3,0.5,94,9,1029,57.75,5,3,-1,113,119,266,0,2,3.3,météo très défavorable,17:04:00,08:37:00,1,116,3,119,4,119,3,119,1,113
2013-01-09,4,1,11,1,4,3,2.6,94,7.75,1027,83.125,4,2,-2,143,119,296,0,1,3.3,météo très défavorable,17:05:00,08:37:00,2,119,2,122,3,296,3,266,2,119
2013-01-10,5,3,10,3,5,4,1.1,96,3.625,1019,93.75,5,4,1,143,122,248,0,1,3.3,météo très défavorable,17:07:00,08:36:00,3,143,3,143,5,266,4,296,3,143
2013-01-11,5,1,13,1,5,2,0.7,97,5.5,1019,75.875,5,3,-2,248,116,116,0,1,6.9,météo très défavorable,17:08:00,08:36:00,3,266,3,119,5,116,3,266,3,248
2013-01-12,5,-1,14,1,5,3,2.6,98,3.25,1018,83.625,5,3,-2,248,266,293,0,1,3.3,météo très défavorable,17:10:00,08:35:00,-1,260,3,266,4,293,2,266,2,266
2013-01-13,2,0,16,0,2,-0,0.9,86,8.25,1017,85.625,2,1,-5,332,116,119,0.5,1,3.3,météo très défavorable,17:11:00,08:35:00,1,317,0,326,2,119,0,338,1,122
2013-01-14,-1,-4,11,-4,-1,-3,0.2,92,9.625,1016,44.5,0,0,-8,116,113,116,0.2,1,8.7,météo très défavorable,17:12:00,08:34:00,-3,323,-3,116,-1,113,-3,326,-2,329
2013-01-15,2,-4,13,-1,2,-2,5.1,98,5.125,1010,73.875,2,0,-3,260,122,119,4.3,1,5.1,météo très défavorable,17:14:00,08:33:00,0,338,0,323,1,335,-4,143,-2,338
2013-01-16,-4,-9,12,-9,-4,-8,0,96,7,1014,24.75,0,0,-13,143,113,113,0,1,8.7,météo très défavorable,17:15:00,08:33:00,-7,143,-8,116,-5,113,-9,113,-4,143
2013-01-17,-5,-12,9,-9,-5,-10,0,97,5,1019,35,0,0,-14,143,116,143,0,2,8.7,météo très défavorable,17:17:00,08:32:00,-9,143,-8,143,-5,116,-12,143,-10,113
2013-01-18,-2,-11,18,-9,-2,-4,0.3,95,7.625,1016,54.75,0,0,-13,143,326,116,0.3,1,5.1,météo très défavorable,17:18:00,08:31:00,-9,113,-5,326,-2,116,-4,329,-11,143
2013-01-19,-2,-4,20,-4,-2,-3,1.9,95,6.875,998,90.375,0,0,-10,338,122,122,1.6,1,3.3,météo très défavorable,17:20:00,08:30:00,-4,338,-4,122,-2,284,-4,326,-4,119
2013-01-20,0,-4,16,-2,0,-4,8.7,97,5,995,100,0,0,-8,122,338,122,7.4,1,3.3,météo très défavorable,17:21:00,08:29:00,-3,338,-2,338,-1,338,-4,338,-4,122
2013-01-21,1,-3,17,-2,1,-0,1.7,96,5.75,999,88.875,1,0,-6,332,122,122,1.4,1,5.1,météo très défavorable,17:23:00,08:28:00,-2,332,-1,323,1,338,-1,338,-3,338
2013-01-22,1,-6,12,-6,1,-2,0.4,98,5.125,1005,62.75,1,0,-8,311,116,116,0.2,1,8.7,météo très défavorable,17:24:00,08:27:00,-3,329,-2,143,0,143,-1,143,-1,143
2013-01-23,2,-2,8,-2,2,0,0.2,97,3.375,1009,75.875,2,2,-6,143,143,326,0.2,1,5.2,météo très défavorable,17:26:00,08:26:00,-2,143,-1,143,2,143,0,332,-2,143
2013-01-24,0,-5,12,-2,0,-4,0.6,94,6.75,1019,60,0,0,-5,332,116,116,0.5,1,8.7,météo très défavorable,17:28:00,08:25:00,-1,332,-1,329,-1,116,-5,143,-1,332
2013-01-25,-2,-7,10,-7,-2,-4,0.1,95,7,1021,53.625,0,0,-10,143,119,323,0,1,3.4,météo très défavorable,17:29:00,08:24:00,-7,143,-4,119,-2,119,-5,116,-6,143
2013-01-26,1,-6,15,-6,-1,-1,0.2,93,7.375,1016,63,1,0,-12,116,332,143,0.1,2,3.4,météo très défavorable,17:31:00,08:23:00,-6,113,-4,122,0,281,1,119,-5,116
2013-01-27,3,0,27,0,2,2,5.4,100,7.875,1014,80.125,3,3,-5,263,302,119,0,1,3.4,météo très défavorable,17:33:00,08:21:00,0,122,1,296,3,266,2,116,1,119
2013-01-28,6,1,16,1,6,2,1,95,7.75,1018,51.875,6,4,-4,200,176,116,0,2,6.9,météo très défavorable,17:34:00,08:20:00,1,116,2,266,5,116,4,266,1,113
